inside,outside,western,chinese,japanese,korean,dessert,etc
"광주중앙도서관 https://map.naver.com/v5/entry/place/11592331?c=14128327.0187701,4184071.9571026,15,0,0,0,dh","광주패밀리랜드 https://map.naver.com/v5/search/%EA%B4%91%EC%A3%BC%ED%8C%A8%EB%B0%80%EB%A6%AC%EB%9E%9C%EB%93%9C/place/34581403?c=14124850.1103225,4194300.0717867,15,0,0,0,dh&placePath=%3Fentry%253Dpll ","어나더키친 https://map.naver.com/v5/entry/place/35823991?c=14106414.8456746,4184921.1843416,10,0,0,0,dh","유향 https://map.naver.com/v5/entry/place/19747671?c=14101176.8628826,4188253.6432678,10,0,0,0,dh","목하식당 https://map.naver.com/v5/entry/place/1969195325?c=14114107.2339954,4184497.8900340,10,0,0,0,dh","엄마네돼지찌개 https://map.naver.com/v5/entry/place/19882323?c=14098429.5423776,4183430.6175460,9,0,0,0,dh","시스살롱 https://map.naver.com/v5/entry/place/36416957?c=14114462.3097752,4183932.0161471,10,0,0,0,dh","생어거스틴 https://map.naver.com/v5/entry/place/35045123?c=14102944.8279034,4189560.4964016,10,0,0,0,dh"
"가죽공방니들웍스 https://map.naver.com/v5/entry/place/38325276?c=14128105.3705320,4184429.9928995,15,0,0,0,dh","광주챔피언스필드야구장 https://map.naver.com/v5/entry/place/19909618?c=14124764.9843078,4186764.0033243,15,0,0,0,dh","HAGOS https://map.naver.com/v5/entry/place/34053128?c=14113127.5222889,4183694.9823379,10,0,0,0,dh","신세계중식당 https://map.naver.com/v5/entry/place/1577289538?c=14103108.1113325,4189925.3025355,10,0,0,0,dh ","갓포이에 https://map.naver.com/v5/entry/place/20734367?c=14105964.1687161,4184432.4027165,10,0,0,0,dh","명가원 https://map.naver.com/v5/entry/place/34818901?c=14091011.7681086,4185078.6746475,9,0,0,0,dh","카페304 https://map.naver.com/v5/entry/place/37414087?c=14104868.8183225,4183512.3127949,10,0,0,0,dh","퍼땀 https://map.naver.com/v5/entry/place/1074241430?c=14113531.4673251,4180429.4799555,10,0,0,0,dh"
"CGV광주터미널 https://map.naver.com/v5/entry/place/13102598?c=14109614.8580208,4185720.1777072,10,0,0,0,dh","승촌보캠핑장 https://map.naver.com/v5/entry/place/32769739?c=14050781.4607333,4172545.7846795,8,0,0,0,dh","게더링 https://map.naver.com/v5/entry/place/1226619821?c=14114581.1433316,4184144.9438398,10,0,0,0,dh","마천루 https://map.naver.com/v5/entry/place/11886877?c=14108136.4795233,4185280.6227859,10,0,0,0,dh","고다미 https://map.naver.com/v5/entry/place/13183335?c=14106274.2491577,4184371.8306961,10,0,0,0,dh","영미오리탕 https://map.naver.com/v5/entry/place/11718943?c=14097246.3052460,4185835.4817251,9,0,0,0,dh","솔티드머랭 https://map.naver.com/v5/entry/place/37995829?c=14114501.0823538,4184039.5141689,10,0,0,0,dh","친츠 https://map.naver.com/v5/entry/place/1657764173?c=14104874.8629709,4183521.5564712,10,0,0,0,dh"
"만화카페풀덤 https://map.naver.com/v5/entry/place/37688650?c=14098101.8623245,4187839.5233236,10,0,0,0,dh","광주실내빙상장 https://map.naver.com/v5/entry/place/11618120?c=14109386.1966548,4182098.0803155,10,0,0,0,dh","어느멋진날 https://map.naver.com/v5/entry/place/36011317?c=14098021.5564438,4198640.0923612,9,0,0,0,dh","신락원 https://map.naver.com/v5/search/%EA%B4%91%EC%A3%BC%20%EC%A4%91%EC%8B%9D%20%EC%B6%94%EC%B2%9C/place/19998608?c=14090979.0179144,4185024.3213815,10,0,0,0,dh&placePath=%3Fentry%253Dpll","가매일식 https://map.naver.com/v5/entry/place/13570506?c=14109736.8975786,4184632.9503397,10,0,0,0,dh","대광식당 https://map.naver.com/v5/entry/place/13014858?c=14089857.6632878,4183472.3295591,9,0,0,0,dh ","궁전제과 https://map.naver.com/v5/entry/place/13297601?c=14113491.4145723,4183976.4665071,10,0,0,0,dh","탄탄명공방 https://map.naver.com/v5/entry/place/1007425751?c=14105883.8294396,4193179.0683260,10,0,0,0,dh"
"아일리캔들 https://map.naver.com/v5/entry/place/1795660396?c=14128500.7439674,4184227.2570101,15,0,0,0,dh","무등산국립공원 https://map.naver.com/v5/entry/place/250957178?c=14136304.4851749,4180964.0340942,15,0,0,0,dh","테이트모던 https://map.naver.com/v5/entry/place/1408303293?c=14104625.0731655,4183453.6108654,10,0,0,0,dh ","백두산 https://map.naver.com/v5/entry/place/32840697?c=14107482.2103481,4185479.0888910,10,0,0,0,dh","상무초밥 https://map.naver.com/v5/entry/place/38347285?c=14106471.7855941,4184976.4493370,10,0,0,0,dh","나주식당 https://map.naver.com/v5/entry/place/19567224?c=14098636.9083250,4184867.9346893,9,0,0,0,dh","카페바리에 https://map.naver.com/v5/entry/place/20283528?c=14113115.5331797,4183754.4070857,10,0,0,0,dh","분포나인 https://map.naver.com/v5/entry/place/1414277661?c=14112952.1606950,4182577.6522028,10,0,0,0,dh"
"우자기도예공방 https://map.naver.com/v5/entry/place/1594429441?c=14127356.0679075,4182748.0684989,15,0,0,0,dh","광주호호수생태원 https://map.naver.com/v5/entry/place/20027727?c=14107664.4848824,4188981.3562858,9,0,0,0,dh","오퀴진 https://map.naver.com/v5/entry/place/36636262?c=14103856.4454774,4189494.2163599,10,0,0,0,dh","금당 https://map.naver.com/v5/entry/place/1469453971?c=14108164.5209030,4180764.8594431,10,0,0,0,dh","벗초밥 https://map.naver.com/v5/entry/place/30853525?c=14109869.2564531,4180586.0217846,10,0,0,0,dh","나정상회 https://map.naver.com/v5/entry/place/10967406?c=14089583.9954516,4184429.5299969,9,0,0,0,dh","윤슬베이커리 https://map.naver.com/v5/entry/place/37303229?c=14114558.2449124,4184152.7312984,10,0,0,0,dh ","무드장 https://map.naver.com/v5/entry/place/1245589346?c=14113155.7195159,4182804.7383854,10,0,0,0,dh"
"나무로뚝딱뚝딱소품만들기 https://map.naver.com/v5/entry/place/1429807511?c=14115831.6396995,4186814.4296084,15,0,0,0,dh","장성호수상스키장 https://map.naver.com/v5/entry/place/1029903040?c=14119083.6939077,4220112.1944949,13,0,0,0,dh","아필코 https://map.naver.com/v5/entry/place/80199792?c=14105281.7468417,4193357.4963272,10,0,0,0,dh","장안성 https://map.naver.com/v5/entry/place/16068451?c=14109727.4910816,4180766.1524199,10,0,0,0,dh","해산 https://map.naver.com/v5/entry/place/19892102?c=14106332.6473626,4184422.7089926,10,0,0,0,dh","황솔촌 https://map.naver.com/v5/entry/place/20260674?c=14091808.8713224,4183631.1742636,9,0,0,0,dh","KAFE52 https://map.naver.com/v5/entry/place/38520668?c=14109674.3360247,4186001.2367582,10,0,0,0,dh","초승달커리 https://map.naver.com/v5/entry/place/1599960706?c=14113299.1992076,4183234.3662649,10,0,0,0,dh"
"반지만들기광주반지마을카페 https://map.naver.com/v5/entry/place/36123475?c=14113103.2769038,4183734.2720667,10,0,0,0,dh","내장산국립공원케이블카 https://map.naver.com/v5/entry/place/554072892?c=14125533.0108707,4230219.3172225,13,0,0,0,dh","구르메키친 https://map.naver.com/v5/entry/place/33331762?c=14105281.7468417,4193357.4963272,10,0,0,0,dh","새벽달 https://map.naver.com/v5/entry/place/1080293976?c=14105883.8294396,4193179.0683260,10,0,0,0,dh","쿠우쿠우 https://map.naver.com/v5/entry/place/1780392299?c=14101449.4286558,4185679.1380452,10,0,0,0,dh","동서네낙지 https://map.naver.com/v5/entry/place/35417989?c=14089919.4901330,4192900.9062442,9,0,0,0,dh","토라네코 https://map.naver.com/v5/entry/place/32465625?c=14114275.9832115,4184079.2816219,10,0,0,0,dh","인디 https://map.naver.com/v5/entry/place/31094131?c=14106569.3348639,4184573.0852006,10,0,0,0,dh"
"캠프VR https://map.naver.com/v5/entry/place/1045697183?c=14120395.0486412,4184959.1441068,15,0,0,0,dh","동진강래프팅 https://map.naver.com/v5/entry/place/17321983?c=14134480.9049365,4246757.9198141,13,0,0,0,dh","테스타 https://map.naver.com/v5/entry/place/764645932?c=14098269.2089150,4182643.2919101,9,0,0,0,dh","취홍 https://map.naver.com/v5/entry/place/12077329?c=14105940.7248313,4193064.0965425,10,0,0,0,dh","호시마츠라멘 https://map.naver.com/v5/entry/place/1544295415?c=14114145.5946919,4184150.8797343,10,0,0,0,dh","신쭈꾸미 https://map.naver.com/v5/entry/place/13468027?c=14090756.8353427,4185527.9162371,9,0,0,0,dh","커볶 https://map.naver.com/v5/entry/place/19744482?c=14116557.9214533,4184296.5552078,10,0,0,0,dh","나나방콕 https://map.naver.com/v5/entry/place/1194693366?c=14106392.2032901,4184468.8495604,10,0,0,0,dh"
"방탈출카페이스케이프탑 https://map.naver.com/v5/entry/place/37695692?c=14113187.1004804,4184078.6009043,10,0,0,0,dh","서프에이블서핑 https://map.naver.com/v5/entry/place/1303691793?c=14119191.3398553,4189345.9526399,13,0,0,0,dh","미도인충장로 https://map.naver.com/v5/entry/place/1944820905?c=14113242.5041909,4184017.7449184,10,0,0,0,dh","보배반점 https://map.naver.com/v5/entry/place/1090179228?c=14105716.6164325,4184904.3012740,10,0,0,0,dh","란도리 https://map.naver.com/v5/entry/place/1364708425?c=14114376.3933922,4184518.2851238,10,0,0,0,dh","명지원명가 https://map.naver.com/v5/entry/place/12930233?c=14091568.2987708,4184791.8116857,9,0,0,0,dh","비쥬느와르 https://map.naver.com/v5/entry/place/37508216?c=14114054.8359111,4183927.7004555,10,0,0,0,dh","밧짱 https://map.naver.com/v5/entry/place/1386740386?c=14110547.4927147,4192477.7154354,10,0,0,0,dh"
"타이거노래연습장 https://map.naver.com/v5/entry/place/1440034021?c=14113341.0442042,4183843.6469105,10,0,0,0,dh","담양패러글라이딩 https://map.naver.com/v5/entry/place/1593705803?c=14138038.0524731,4193666.6012083,13,0,0,0,dh","르시엘블루 https://map.naver.com/v5/entry/place/16088404?c=14105160.0635063,4183386.6866888,10,0,0,0,dh","남쪽마을돌짜장 https://map.naver.com/v5/entry/place/1410007723?c=14099314.8217601,4193103.4059121,10,0,0,0,dh ","하지메 https://map.naver.com/v5/entry/place/31406065?c=14106939.7170736,4184559.1162609,10,0,0,0,dhhttps://map.naver.com/v5/entry/place/31406065?c=14106939.7170736,4184559.1162609,10,0,0,0,dh","미미원 https://map.naver.com/v5/entry/place/13590946?c=14099585.2947268,4183889.9075938,9,0,0,0,dh","태양의정원 https://map.naver.com/v5/entry/place/19796818?c=14108775.4756644,4188144.9603085,10,0,0,0,dh","사이공장 https://map.naver.com/v5/entry/place/1694139328?c=14114205.4289182,4184092.2016502,10,0,0,0,dh"
"클럽300볼링센터 https://map.naver.com/v5/entry/place/20467976?c=14101628.1520982,4188294.0114958,10,0,0,0,dh","우치공원동물원 https://map.naver.com/v5/entry/place/21311180?c=14110266.8562784,4194191.4384343,10,0,0,0,dh","코벤트마켓 https://map.naver.com/v5/entry/place/40951250?c=14104735.5021003,4183600.1892933,10,0,0,0,dh","만조성 https://map.naver.com/v5/entry/place/16051508?c=14105244.8778263,4183701.3672497,10,0,0,0,dh","사카나 https://map.naver.com/v5/entry/place/19877394?c=14114764.8650192,4181840.3144066,10,0,0,0,dh","한남동나른한오후 https://map.naver.com/v5/entry/place/1264390223?c=14099662.8732800,4184594.0522582,9,0,0,0,dh","떼시스 https://map.naver.com/v5/entry/place/36384070?c=14104920.7154691,4183604.0011479,10,0,0,0,dh","아오리따 https://map.naver.com/v5/entry/place/1222103844?c=14114252.7508338,4184137.2516875,10,0,0,0,dh"
"SM당구클럽 https://map.naver.com/v5/entry/place/37879377?c=14106015.9100154,4184727.7930667,10,0,0,0,dh",,"어센틱비스트로 https://map.naver.com/v5/entry/place/1763344267?c=14112299.1828259,4181109.4226885,10,0,0,0,dh ","취영각 https://map.naver.com/v5/entry/place/20031611?c=14105394.3242427,4193129.7848257,10,0,0,0,dh","유소바 https://map.naver.com/v5/entry/place/1301911015?c=14113656.5347730,4182755.7188486,10,0,0,0,dh","캐쥬얼식당 https://map.naver.com/v5/entry/place/1991263888?c=14099662.8732800,4184594.0522582,9,0,0,0,dh","아람 https://map.naver.com/v5/entry/place/850329033?c=14114877.7318509,4185983.6439762,10,0,0,0,dh","하이웨이타코 https://map.naver.com/v5/entry/place/77693814?c=14113522.8289326,4183670.1370338,10,0,0,0,dh"
"두레건강랜드찜질방 https://map.naver.com/v5/search/%EA%B4%91%EC%A3%BC%20%EC%B0%9C%EC%A7%88%EB%B0%A9/place/37638030?c=14096037.1195412,4189498.8611259,10,0,0,0,dh&placePath=%3Fentry%253Dpll",,"한식경 https://map.naver.com/v5/entry/place/1080814771?c=14114108.2247389,4184498.2031760,10,0,0,0,dh","모노바스 https://map.naver.com/v5/entry/place/13496661?c=14113541.1298569,4180621.5168834,10,0,0,0,dh","칸세이스시 https://map.naver.com/v5/entry/place/1219567623?c=14113155.7640437,4182734.1290852,10,0,0,0,dh","금수저은수저 https://map.naver.com/v5/entry/place/13558909?c=14090208.8428854,4190853.0638064,9,0,0,0,dh ","코코블루 https://map.naver.com/v5/entry/place/38218347?c=14085429.4629996,4183112.8953247,10,0,0,0,dh","알랭 https://map.naver.com/v5/entry/place/36286045?c=14114387.2581745,4184386.0989237,10,0,0,0,dh"
"클럽300롤러장 https://map.naver.com/v5/entry/place/1664746015?c=14106086.0524266,4184871.9375947,10,0,0,0,dh ",,"레이레스토랑 https://map.naver.com/v5/entry/place/1066094403?c=14108877.4109221,4184857.4781270,10,0,0,0,dh","연경 https://map.naver.com/v5/entry/place/31077461?c=14101391.9321388,4189753.7132971,10,0,0,0,dh","스시도감 https://map.naver.com/v5/entry/place/35366906?c=14105712.4753474,4185202.3592759,10,0,0,0,dh","거목한정식 https://map.naver.com/v5/entry/place/11693336?c=14097923.9960421,4183693.2942168,9,0,0,0,dh","카페린느 https://map.naver.com/v5/entry/place/1971920154?c=14114397.7667344,4187269.3523426,10,0,0,0,dh","수쿰빗19 https://map.naver.com/v5/entry/place/1221713763?c=14112936.7652095,4181189.6036400,10,0,0,0,dh"
"디지페스타전시회 https://map.naver.com/v5/entry/place/13323294?c=14110211.1965330,4188698.2875341,10,0,0,0,dh",,"핀치이태리 https://map.naver.com/v5/entry/place/36302228?c=14103198.4693632,4191329.7999153,10,0,0,0,dh","영하반점 https://map.naver.com/v5/entry/place/1143749117?c=14102019.9076502,4190277.9153974,10,0,0,0,dh","돈부리바쇼유메노덴 https://map.naver.com/v5/entry/place/1509347197?c=14114337.9992998,4184345.8266262,10,0,0,0,dh","매운날매운갈비찜 https://map.naver.com/v5/entry/place/20348689?c=14090552.2635145,4193089.9848464,9,0,0,0,dh","베비에르과자점 https://map.naver.com/v5/entry/place/19866734?c=14109135.2045989,4180885.6785718,10,0,0,0,dh ","오아워 https://map.naver.com/v5/entry/place/1136140991?c=14113288.3232933,4182990.5544830,10,0,0,0,dh"
"광주시립미술관 https://map.naver.com/v5/entry/place/11537321?c=14095048.3019003,4188820.3781774,9,0,0,0,dh",,"그라제1985 https://map.naver.com/v5/entry/place/38654589?c=14113364.6995960,4182869.4946014,10,0,0,0,dh","영발원 https://map.naver.com/v5/entry/place/11861466?c=14111577.0421572,4185651.5650333,10,0,0,0,dh","마루요시 https://map.naver.com/v5/entry/place/1950797801?c=14106331.5230357,4184309.3393431,10,0,0,0,dh","서울곱창 https://map.naver.com/v5/entry/place/11710142?c=14085110.3656793,4182757.2434740,9,0,0,0,dh","디저트카페퐁당 https://map.naver.com/v5/entry/place/175392081?c=14114406.7390854,4183759.2944961,10,0,0,0,dh","에머이 https://map.naver.com/v5/entry/place/552224212?c=14113193.6571984,4184218.9793761,10,0,0,0,dh"
"아쿠아플레넷 https://map.naver.com/v5/entry/place/21529770?c=14219076.7382073,4129449.7889652,13,0,0,0,dh",,"테스팅노트 https://map.naver.com/v5/entry/place/1853198531?c=14109969.1768280,4183677.9241587,10,0,0,0,dh","만리장성 https://map.naver.com/v5/entry/place/20393414?c=14109471.0443706,4187767.5064135,10,0,0,0,dh","스시상 https://map.naver.com/v5/entry/place/1581988391?c=14113929.3343172,4183660.3895215,10,0,0,0,dh","남해가든 https://map.naver.com/v5/entry/place/13570596?c=14097710.7078977,4180907.3872289,9,0,0,0,dh","롱마카롱 https://map.naver.com/v5/entry/place/972983645?c=14100533.4918855,4188035.5974554,10,0,0,0,dh","카오 https://map.naver.com/v5/entry/place/1656600781?c=14103771.0856919,4189679.3274578,10,0,0,0,dh"
,,"코발트 https://map.naver.com/v5/entry/place/38520841?c=14114367.5434927,4184267.4199599,10,0,0,0,dh","초심 https://map.naver.com/v5/entry/place/31115777?c=14096991.7509664,4184077.8521150,10,0,0,0,dh","오보에루 https://map.naver.com/v5/entry/place/1014982688?c=14114402.9319588,4184320.2855154,10,0,0,0,dh","한옥식당 https://map.naver.com/v5/entry/place/13570697?c=14098321.6626591,4182963.8049407,9,0,0,0,dh","홀라로사 https://map.naver.com/v5/entry/place/37486006?c=14105248.0170360,4194047.3223774,10,0,0,0,dh","잇포 https://map.naver.com/v5/entry/place/1229846111?c=14104789.7814841,4183620.8686202,10,0,0,0,dh"
,,"허슬피자 https://map.naver.com/v5/entry/place/1916763227?c=14113169.3116257,4182643.0332709,10,0,0,0,dh","보보식당 https://map.naver.com/v5/entry/place/1561510041?c=14114203.6144105,4184777.8288550,10,0,0,0,dh","초이찌 https://map.naver.com/v5/entry/place/38412283?c=14108245.6171521,4192690.1126879,10,0,0,0,dh","예향정 https://map.naver.com/v5/entry/place/38735624?c=14098111.1575020,4187656.7037011,9,0,0,0,dh","양인제과 https://map.naver.com/v5/entry/place/719671924?c=14113068.5786185,4182737.9406419,10,0,0,0,dh","레호이 https://map.naver.com/v5/entry/place/1558813929?c=14105611.4195137,4193040.3202324,10,0,0,0,dh"